passe;ligne;siret;nom;probleme;details
Passe 5 - Dates de labellisation;9;32866639100013;ACCOR LUBRIFIANTS;Date de labellisation non interprétable;"Valeur fichier : ""en cours labellisation"""
Passe 5 - Dates de labellisation;17;53029122800027;BRASSERIE DE SUTTER;Date de labellisation non interprétable;"Valeur fichier : ""en cours labellisation"""
Passe 5 - Dates de labellisation;18;48516880100036;BRASSERIE LARCHE;Date de labellisation non interprétable;"Valeur fichier : ""en cours labellisation"""
Passe 5 - Dates de labellisation;29;35066817400054;MACEO GROUPE;Date de labellisation non interprétable;"Valeur fichier : ""en cours labellisation"""
