passe;ligne;siret;nom;probleme;details
Passe 3 - Liens mère-fille;134;63850041300049;CHARCUTERIE PIERRE SCHMIDT SAS;Auto-référencement parent ignoré;Le SIRET parent est identique au SIRET de l'entité.
Passe 3 - Liens mère-fille;220;63622022000017;GROUPE SILL;Auto-référencement parent ignoré;Le SIRET parent est identique au SIRET de l'entité.
Passe 3 - Liens mère-fille;247;52929577600015;LE BATISTOU;Auto-référencement parent ignoré;Le SIRET parent est identique au SIRET de l'entité.
Passe 3 - Liens mère-fille;326;52929577600015;SAVEURS ET TRADITIONS CONSEIL (holding);Auto-référencement parent ignoré;Le SIRET parent est identique au SIRET de l'entité.
Passe 5 - Dates de labellisation;9;32866639100013;ACCOR LUBRIFIANTS;Date de labellisation non interprétable;"Valeur fichier : ""en cours labellisation"""
Passe 5 - Dates de labellisation;17;53029122800027;BRASSERIE DE SUTTER;Date de labellisation non interprétable;"Valeur fichier : ""en cours labellisation"""
Passe 5 - Dates de labellisation;18;48516880100036;BRASSERIE LARCHE;Date de labellisation non interprétable;"Valeur fichier : ""en cours labellisation"""
Passe 5 - Dates de labellisation;29;35066817400054;MACEO GROUPE;Date de labellisation non interprétable;"Valeur fichier : ""en cours labellisation"""
